date,close,rate,mean,pos,neg,neu
2023/7/18,138.81,0,0,0,0,0
2023/7/19,139.67,0.6196,0.5,1,0,0
2023/7/20,140.07,0,0,0,0,0
2023/7/21,141.79,1.228,0.6,1,0,0
2023/7/24,141.44,-0.2468,-0.2,0,1,0
2023/7/25,140.9,0,0,0,0,0
2023/7/26,140.21,-0.4897,-0.3,0,1,0
2023/7/27,139.44,-0.5492,-0.2,0,1,0
2023/7/28,141.15,1.2263,-0.7,0,1,0
2023/7/31,142.28,0,0,0,0,0
2023/8/1,143.32,0,0,0,0,0
2023/8/2,143.32,0,-0.3,0,1,0
2023/8/3,142.54,-0.5442,-0.1,0,1,0
2023/8/4,141.75,0,0,0,0,0
2023/8/7,142.49,0,0,0,0,0
2023/8/8,143.37,0.6176,0.3,1,0,0
2023/8/9,143.72,0,0,0,0,0
2023/8/10,144.73,0.7028,0.3,1,0,0
2023/8/11,144.96,0,0,0,0,0
2023/8/14,145.54,0.4001,0.7,1,0,0
2023/8/15,145.57,0,0,0,0,0
2023/8/16,146.35,0.5358,0.5,1,0,0
2023/8/17,145.83,-0.3553,0.7,1,0,0
2023/8/18,145.37,-0.3154,-0.3,0,1,0
2023/8/21,146.17,0.5503,0.3,1,0,0
2023/8/22,145.88,0,0,0,0,0
2023/8/23,144.83,-0.7198,-0.4,0,1,0
2023/8/24,145.87,0,0,0,0,0
2023/8/25,146.41,0.3702,0.3,1,0,0
2023/8/28,146.54,0,0,0,0,0
2023/8/29,145.87,-0.4572,0.6,1,0,0
2023/8/30,146.24,0.2537,-0.2,0,1,0
2023/8/31,145.53,-0.4855,-0.1,0,1,0
2023/9/1,146.23,0.481,-0.3,0,1,0
2023/9/4,146.46,0,0,0,0,0
2023/9/5,147.71,0.8535,0.6,1,0,0
2023/9/6,147.65,0,0,0,0,0
2023/9/7,147.29,-0.2438,0.7,1,0,0
2023/9/8,147.81,0.353,-0.3,0,1,0
2023/9/11,146.58,0,0,0,0,0
2023/9/12,147.08,0,0,0,0,0
2023/9/13,147.45,0,0,0,0,0
2023/9/14,147.47,0,0,0,0,0
2023/9/15,147.82,0,0,0,0,0
2023/9/18,147.6,0,0,0,0,0
2023/9/19,147.86,0,0,0,0,0
2023/9/20,148.33,0.3179,0.5,1,0,0
2023/9/21,147.58,-0.5056,-0.3,0,1,0
2023/9/22,148.37,0.5353,0.3,1,0,0
2023/9/25,148.88,0.3437,0.5,1,0,0
