date,close,rate,mean,pos,neg,neu
2023/3/14,6.8715,0.3652,0.5,1,0,0
2023/3/15,6.9074,0,0,0,0,0
2023/3/16,6.8983,0,0,0,0,0
2023/3/17,6.8867,-0.1682,-0.2,0,1,0
2023/3/20,6.8785,0,0,0,0,0
2023/3/21,6.8845,0.0872,-0.5,0,1,0
2023/3/22,6.8807,-0.0552,0.5,1,0,0
2023/3/23,6.8199,-0.8836,-0.5,0,1,0
2023/3/24,6.868,0.7053,0.7,1,0,0
2023/3/27,6.8851,0.249,0.5,1,0,0
2023/3/28,6.875,-0.1467,-0.2,0,1,0
2023/3/29,6.8871,0,0,0,0,0
2023/3/30,6.8719,-0.2207,-0.2,0,1,0
2023/3/31,6.869,-0.0422,-0.5,0,1,0
2023/4/3,6.8783,0,0,0,0,0
2023/4/4,6.8798,0,0,0,0,0
2023/4/5,6.8798,0,0,0,0,0
2023/4/6,6.8758,0,0,0,0,0
2023/4/7,6.8703,-0.08,0.2,1,0,0
2023/4/10,6.8816,0,0,0,0,0
2023/4/11,6.887,0,0,0,0,0
2023/4/12,6.8748,0,0,0,0,0
2023/4/13,6.8683,-0.0945,-0.5,0,1,0
2023/4/14,6.8714,0,0,0,0,0
2023/4/17,6.8798,0,0,0,0,0
2023/4/18,6.876,0,0,0,0,0
2023/4/19,6.8858,0,0,0,0,0
2023/4/20,6.8732,0,0,0,0,0
2023/4/21,6.8935,0,0,0,0,0
2023/4/24,6.8964,0,0,0,0,0
2023/4/25,6.9327,0.5264,0.5,1,0,0
2023/4/26,6.9268,-0.0851,0.4,1,0,0
2023/4/27,6.9238,-0.0433,0.2,1,0,0
2023/4/28,6.9121,0,0,0,0,0
2023/5/1,6.9121,0,0,0,0,0
2023/5/2,6.9121,0,0,0,0,0
2023/5/3,6.9121,0,0,0,0,0
2023/5/4,6.9067,0,0,0,0,0
2023/5/5,6.9105,0,0,0,0,0
2023/5/8,6.9125,0.0289,0.4,1,0,0
2023/5/9,6.9205,0.1157,0,0,0,1
2023/5/10,6.9333,0,0,0,0,0
2023/5/11,6.9488,0.2236,0,0,0,1
2023/5/12,6.9583,0,0,0,0,0
2023/5/15,6.9525,-0.0834,0,0,0,1
2023/5/16,6.9787,0,0,0,0,0
2023/5/17,6.9986,0.2852,-0.5,0,1,0
2023/5/18,7.0358,0.5315,0.5,1,0,0
2023/5/19,7.0079,-0.3965,-0.2,0,1,0
2023/5/22,7.0358,0.3981,0.5,1,0,0
2023/5/23,7.0566,0,0,0,0,0
2023/5/24,7.0609,0.0609,-0.6,0,1,0
2023/5/25,7.0789,0.2549,0.5,1,0,0
2023/5/26,7.0647,-0.2006,-0.2,0,1,0
2023/5/29,7.073,0,0,0,0,0
2023/5/30,7.08,0,0,0,0,0
2023/5/31,7.1117,0,0,0,0,0
2023/6/1,7.0945,0,0,0,0,0
2023/6/2,7.0848,-0.1367,-0.5,0,1,0
2023/6/5,7.1025,0,0,0,0,0
2023/6/6,7.1195,0,0,0,0,0
2023/6/7,7.1293,0.1377,0,0,0,1
2023/6/8,7.1122,-0.2399,-0.5,0,1,0
2023/6/9,7.1286,0.2306,0,0,0,1
2023/6/12,7.1456,0,0,0,0,0
2023/6/13,7.1681,0,0,0,0,0
2023/6/14,7.1638,0,0,0,0,0
2023/6/15,7.121,0,0,0,0,0
2023/6/16,7.1266,0.0786,0.6,1,0,0
2023/6/19,7.1615,0.4897,0.5,1,0,0
2023/6/20,7.1815,0.2793,-0.5,0,1,0
2023/6/21,7.1795,-0.0278,0.5,1,0,0
2023/6/22,7.1795,0,0,0,0,0
2023/6/23,7.1795,0,0,0,0,0
2023/6/26,7.2376,0.8092,0.5,1,0,0
2023/6/27,7.2202,0,0,0,0,0
2023/6/28,7.2445,0,0,0,0,0
2023/6/29,7.2525,0,0,0,0,0
2023/6/30,7.2523,0,0,0,0,0
2023/7/3,7.2408,0,0,0,0,0
2023/7/4,7.2145,-0.3632,-0.5,0,1,0
2023/7/5,7.2475,0,0,0,0,0
2023/7/6,7.2505,0.0414,-0.6,0,1,0
2023/7/7,7.2212,0,0,0,0,0
2023/7/10,7.232,0,0,0,0,0
2023/7/11,7.2102,0,0,0,0,0
2023/7/12,7.1663,0,0,0,0,0
2023/7/13,7.151,-0.2135,0.5,1,0,0
2023/7/14,7.1413,-0.1356,-0.5,0,1,0
2023/7/17,7.1721,0,0,0,0,0
2023/7/18,7.1802,0.1129,0.2,1,0,0
2023/7/19,7.227,0,0,0,0,0
2023/7/20,7.1776,-0.6835,-0.5,0,1,0
2023/7/21,7.1878,0,0,0,0,0
2023/7/24,7.1865,-0.0181,-0.5,0,1,0
2023/7/25,7.1364,0,0,0,0,0
2023/7/26,7.151,0,0,0,0,0
2023/7/27,7.1742,0.3244,0.4,1,0,0
2023/7/28,7.1494,0,0,0,0,0
2023/7/31,7.1428,0,0,0,0,0
2023/8/1,7.1778,0.49,0.4,1,0,0
2023/8/2,7.1916,0,0,0,0,0
2023/8/3,7.1663,-0.3518,0.2,1,0,0
2023/8/4,7.1708,0.0628,-0.2,0,1,0
2023/8/7,7.1931,0,0,0,0,0
2023/8/8,7.2177,0.342,0,0,0,1
2023/8/9,7.21,0,0,0,0,0
2023/8/10,7.218,0.111,-0.2,0,1,0
2023/8/11,7.2383,0.2812,0.5,1,0,0
2023/8/14,7.2598,0,0,0,0,0
2023/8/15,7.2831,0.3209,0.5,1,0,0
2023/8/16,7.2986,0,0,0,0,0
2023/8/17,7.2915,-0.0973,-0.5,0,1,0
2023/8/18,7.2817,-0.1344,-0.5,0,1,0
2023/8/21,7.2878,0.0838,0.5,1,0,0
2023/8/22,7.2943,0.0892,0.2,1,0,0
2023/8/23,7.2786,-0.2152,-0.2,0,1,0
2023/8/24,7.2792,0.0082,-0.2,0,1,0
2023/8/25,7.29,0.1484,0.2,1,0,0
2023/8/28,7.2905,0.0069,-0.2,0,1,0
2023/8/29,7.2807,-0.1344,-0.2,0,1,0
2023/8/30,7.2852,0,0,0,0,0
2023/8/31,7.2589,-0.361,-0.5,0,1,0
2023/9/1,7.2616,0.0372,-0.2,0,1,0
2023/9/4,7.2732,0.1597,0.2,1,0,0
2023/9/5,7.3046,0.4317,0.5,1,0,0
2023/9/6,7.3172,0.1725,0.2,1,0,0
2023/9/7,7.3293,0.1654,0.2,1,0,0
2023/9/8,7.344,0.2006,0.4,1,0,0
2023/9/11,7.2894,-0.7435,-0.7,0,1,0
2023/9/12,7.2918,0.0329,-0.2,0,1,0
2023/9/13,7.2709,-0.2866,-0.5,0,1,0
2023/9/14,7.278,0.0976,-0.2,0,1,0
2023/9/15,7.2749,-0.0426,-0.5,0,1,0
2023/9/18,7.2918,0.2323,0.4,1,0,0
2023/9/19,7.2974,0,0,0,0,0
2023/9/20,7.2879,-0.1302,-0.2,0,1,0
2023/9/21,7.3078,0.2731,0.5,1,0,0
2023/9/22,7.2985,0,0,0,0,0
2023/9/25,7.3119,0.1836,0.2,1,0,0
2023/9/26,7.3113,-0.0082,0.6,1,0,0
2023/9/27,7.311,-0.0041,-0.5,0,1,0
2023/9/28,7.3015,-0.1299,-0.2,0,1,0
2023/9/29,7.3015,0,0,0,0,0
2023/10/2,7.3015,0,0,0,0,0
2023/10/3,7.3015,0,0,0,0,0
2023/10/4,7.3015,0,0,0,0,0
2023/10/5,7.3015,0,0,0,0,0
2023/10/6,7.3015,0,0,0,0,0
2023/10/9,7.2923,-0.126,-0.5,0,1,0
2023/10/10,7.2958,0.048,0.6,1,0,0
2023/10/11,7.3001,0,0,0,0,0
2023/10/12,7.3028,0,0,0,0,0
2023/10/13,7.306,0.0438,-0.2,0,1,0
2023/10/16,7.3111,0.0698,0.2,1,0,0
2023/10/17,7.3128,0,0,0,0,0
2023/10/18,7.3155,0.0369,-0.2,0,1,0
2023/10/19,7.3135,0,0,0,0,0
2023/10/20,7.3164,0.0397,-0.2,0,1,0
2023/10/23,7.3159,0,0,0,0,0
2023/10/24,7.31,0,0,0,0,0
2023/10/25,7.3173,0,0,0,0,0
2023/10/26,7.3158,-0.0205,0,0,0,1
2023/10/27,7.3174,0,0,0,0,0
2023/10/30,7.3134,0,0,0,0,0
2023/10/31,7.3165,0,0,0,0,0
2023/11/1,7.3177,0,0,0,0,0
2023/11/2,7.3164,-0.0178,0,0,0,1
2023/11/3,7.3013,-0.2064,-0.2,0,1,0
2023/11/6,7.2703,-0.4246,-0.5,0,1,0
2023/11/7,7.2799,0.132,0.2,1,0,0
2023/11/8,7.2804,0.0069,-0.2,0,1,0
2023/11/9,7.2838,0.0467,0,0,0,1
2023/11/10,7.2894,0,0,0,0,0
2023/11/13,7.2893,-0.0014,0.2,1,0,0
2023/11/14,7.2538,-0.487,-0.5,0,1,0
2023/11/15,7.2468,-0.0965,-0.7,0,1,0
2023/11/16,7.2427,-0.0566,0.2,1,0,0
2023/11/17,7.2119,-0.4253,-0.5,0,1,0
2023/11/20,7.1693,-0.5907,-0.7,0,1,0
2023/11/21,7.1376,-0.4422,-0.7,0,1,0
2023/11/22,7.1564,0.2634,0,0,0,1
2023/11/23,7.147,-0.1314,-0.5,0,1,0
2023/11/24,7.1497,0.0378,-0.2,0,1,0
2023/11/27,7.153,0.0462,0.5,1,0,0
2023/11/28,7.1473,-0.0797,0,0,0,1
2023/11/29,7.131,-0.2281,0.2,1,0,0
2023/11/30,7.1363,0.0743,-0.5,0,1,0
2023/12/1,7.1399,0.0504,0,0,0,1
2023/12/4,7.143,0.0434,0.5,1,0,0
2023/12/5,7.1472,0.0588,0.5,1,0,0
2023/12/6,7.1596,0.1735,0.2,1,0,0
2023/12/7,7.151,-0.1201,-0.5,0,1,0
2023/12/8,7.1661,0.2112,0.5,1,0,0
2023/12/11,7.176,0.1382,0.5,1,0,0
2023/12/12,7.1766,0.0084,-0.2,0,1,0
2023/12/13,7.173,-0.0502,0,0,0,1
2023/12/14,7.1102,-0.8755,-0.7,0,1,0
2023/12/15,7.1184,0.1153,-0.5,0,1,0
2023/12/18,7.134,0.2192,0.2,1,0,0
2023/12/19,7.1297,-0.0603,-0.2,0,1,0
2023/12/20,7.1363,0.0926,0.5,1,0,0
2023/12/21,7.1391,0.0392,0.2,1,0,0
2023/12/22,7.1333,-0.0812,-0.5,0,1,0
2023/12/25,7.1365,0.0449,-0.2,0,1,0
2023/12/26,7.1434,0,0,0,0,0
2023/12/27,7.141,-0.0336,0.2,1,0,0
2023/12/28,7.1088,-0.4509,-0.5,0,1,0
2023/12/29,7.0999,-0.1252,0.2,1,0,0
2024/1/1,7.0999,0,0,0,0,0
2024/1/2,7.1441,0.6225,0.5,1,0,0
2024/1/3,7.1505,0.0896,0.5,1,0,0
2024/1/4,7.1595,0.1259,0.2,1,0,0
2024/1/5,7.1412,-0.2556,-0.5,0,1,0
2024/1/8,7.1545,0.1862,0.5,1,0,0
2024/1/9,7.1687,0.1985,0.5,1,0,0
2024/1/10,7.1716,0.0405,0.2,1,0,0
2024/1/11,7.1685,-0.0432,-0.2,0,1,0
2024/1/12,7.1678,-0.0098,0,0,0,1
2024/1/15,7.1716,0.053,0.2,1,0,0
2024/1/16,7.1911,0.2719,0.5,1,0,0
2024/1/17,7.1963,0.0723,0.2,1,0,0
2024/1/18,7.1963,0,-0.2,0,1,0
2024/1/19,7.1935,-0.0389,-0.2,0,1,0
2024/1/22,7.1929,-0.0083,-0.2,0,1,0
2024/1/23,7.1733,-0.2725,-0.5,0,1,0
2024/1/24,7.1528,-0.2858,-0.5,0,1,0
2024/1/25,7.1698,0.2377,0.5,1,0,0
2024/1/26,7.1774,0,0,0,0,0
2024/1/29,7.1807,0.046,0,0,0,1
2024/1/30,7.1763,0,0,0,0,0
2024/1/31,7.1678,-0.1184,-0.2,0,1,0
2024/2/1,7.1802,0.173,0,0,0,1
2024/2/2,7.1925,0,0,0,0,0
2024/2/5,7.1985,0.0834,0,0,0,1
2024/2/6,7.1913,-0.1,0,0,0,1
