date,close,rate,mean,pos,neg,neu
2023/4/18,1.2424,0.4041,0,0,0,0
2023/4/19,1.2438,0.1127,0,0,0,0
2023/4/20,1.2443,0.0402,0,0,0,0
2023/4/21,1.243,-0.1045,0,0,0,0
2023/4/24,1.2482,0.4183,0,0,0,0
2023/4/25,1.2408,-0.5929,0,0,0,0
2023/4/26,1.2467,0.4755,0,0,0,0
2023/4/27,1.2487,0.1604,0,0,0,0
2023/4/28,1.2572,0.6807,0.8,1,0,0
2023/5/1,1.2496,-0.6045,-0.3,0,1,0
2023/5/2,1.2464,-0.2561,0.5,1,0,0
2023/5/3,1.2564,0.8023,0.5,1,0,0
2023/5/4,1.2572,0.0637,0.8,1,0,0
2023/5/5,1.2641,0.5488,0.57,1,0,0
2023/5/8,1.2617,-0.1899,0.6,1,0,0
2023/5/9,1.2619,0.0159,0.7,1,0,0
2023/5/10,1.2624,0.0396,0.5,1,0,0
2023/5/11,1.2509,-0.911,-0.2,0,1,0
2023/5/12,1.2457,-0.4157,0.3,1,0,0
2023/5/15,1.2527,0.5619,0.4,1,0,0
2023/5/16,1.2485,-0.3353,-0.4,0,1,0
2023/5/17,1.2486,0.008,-0.5,0,1,0
2023/5/18,1.2408,-0.6247,-0.7,0,1,0
2023/5/19,1.2444,0.2901,0.4,1,0,0
2023/5/22,1.2437,-0.0563,0,0,0,0
2023/5/23,1.241,-0.2171,-0.4,0,1,0
2023/5/24,1.2364,-0.3707,0.3,1,0,0
2023/5/25,1.2321,-0.3478,0,0,0,0
2023/5/26,1.2343,0.1786,0.5,1,0,0
2023/5/29,1.2351,0.0648,0,0,0,0
2023/5/30,1.2413,0.502,0.3,1,0,0
2023/5/31,1.2437,0.1933,0,0,0,0
2023/6/1,1.2525,0.7076,0,0,0,0
2023/6/2,1.2448,-0.6148,0,0,0,0
2023/6/5,1.2437,-0.0884,0,0,0,0
2023/6/6,1.2424,-0.1045,0,0,0,0
2023/6/7,1.2434,0.0805,0,0,0,0
2023/6/8,1.2553,0.9571,0,0,0,0
2023/6/9,1.2569,0.1275,0.2,1,0,0
2023/6/12,1.2511,-0.4615,0,0,0,0
2023/6/13,1.2612,0.8073,0.5,1,0,0
2023/6/14,1.2661,0.3885,0.9,1,0,0
2023/6/15,1.2781,0.9478,0.5,1,0,0
2023/6/16,1.2817,0.2817,0.9,1,0,0
2023/6/19,1.279,-0.2107,-0.2,0,1,0
2023/6/20,1.2761,-0.2267,0,0,0,0
2023/6/21,1.2769,0.0627,-0.5,0,1,0
2023/6/22,1.2746,-0.1801,0.6,1,0,0
2023/6/23,1.2711,-0.2746,-0.4,0,1,0
2023/6/26,1.2712,0.0079,0,0,0,0
2023/6/27,1.2746,0.2675,0,0,0,0
2023/6/28,1.264,-0.8316,-0.8,0,1,0
2023/6/29,1.2612,-0.2215,0,0,0,0
2023/6/30,1.2704,0.7295,0.2,1,0,0
2023/7/3,1.2691,-0.1023,0.3,1,0,0
2023/7/4,1.2712,0.1655,0,0,0,0
2023/7/5,1.2704,-0.0629,-0.1,0,1,0
2023/7/6,1.274,0.2834,0.5,1,0,0
2023/7/7,1.2836,0.7535,0,0,0,0
2023/7/10,1.2859,0.1792,-0.5,0,1,0
2023/7/11,1.2932,0.5677,0.7,1,0,0
2023/7/12,1.2986,0.4176,0.9,1,0,0
2023/7/13,1.3133,1.132,0.2,1,0,0
2023/7/14,1.3086,-0.3579,0,0,0,0
2023/7/17,1.3071,-0.1146,0,0,0,0
2023/7/18,1.3034,-0.2831,0,0,0,0
